Gender,Age Range,"How did you hear about our BETA Savings account? Advert, Beta Friends, Friends, Family, Others",Do you know your BETA friend,Do you know about our Target Savings account?,How satisfied are you with your BETA account?,Do your requests get treated in a timely manner?,Please rate your experience with your BETA Friend,How do you resolve your complaints?,Will you be interested in loan offerings from us?,Did you know you can use our USSD services on *614*045# to check your balance and buy airtime?,Please tell us how best we can serve you
Female,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Visit a Branch,No,Yes,The bank should work on beta network so we dnt have to go and come back to d bank when we want to withdraw
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,By giving us a loan to support our business
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,beta account consumer should be treated like order Costner and beta network should be strong so wen we transfer into beta account 
Male,25-34,Friends,Yes,Yes,Very Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,By supporting us with loan
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,No,Excellent,Visit a Branch,No,Yes,Please work on ur beta network it is very bad.Dey should make withdraw easy for beta cosumer 
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,I'm enjoying the your service
Male,18-24,BETA Friends,Yes,Yes,Satisfied,Yes,Fair,Visit a Branch,Yes,Yes,"Transfer issue should be work upon both in ad out of beta account,also atm card should work smartly ad time wastage in the banking hall because of no network in beta account, thanks"
Female,45-59,BETA Friends,Yes,Yes,Very Satisfied,No,Very good,Visit a Branch,No,Yes,Please work on beta acct debite without pay
Male,18-24,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Visit a Branch,No,Yes,Beta account statement should be print like order acct from costumer services and beta Atm should be issues from d bank without beta friends and work on ur network
Female,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Visit a Branch,No,Yes,Beta account should transfer out and withdraw from the bank should be make easy for we
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,No,Excellent,Visit a Branch,Yes,Yes,Please work on the network on beta is very bad
Female,45-59,BETA Friends,Yes,Yes,Very Dissatisfied,Yes,Good,Visit a Branch,No,Yes,Beta doesn’t have  network and network to withdraw from bank u have too wait and wait until Dey Oga will na pay u . Work on the beta  network
Female,35-44,BETA Friends,Yes,Yes,Neutral,No,Good,Visit a Branch,Yes,Yes,"network , debit card , debit without pay,and transfer"
Female,25-34,BETA Friends,Yes,Yes,Very Dissatisfied,No,Very good,Visit a Branch,No,Yes,Beta cosumer should be treated with high value Becos we dnt come to the bank but when we come d cosumer service should answer us ontime den plzzz work on beta network 
Female,35-44,BETA Friends,Yes,Yes,Neutral,Yes,Very good,Visit a Branch,No,Yes,work on ur beta network and work on beta  like normal acct is difficut to access beta without our beta friends wen they are not around we can’t do anythg Becos I cnt write
Female,35-44,BETA Friends,Yes,Yes,Satisfied,No,Good,Visit a Branch,No,Yes,Work on beta network
Female,18-24,BETA Friends,Yes,Yes,Neutral,No,Excellent,Visit a Branch,Yes,No,It will do more good if credit and debit alert is received within a short period of time .It often take like 2 to 3 days before the alert is received also debit without pay .
Female,35-44,BETA Friends,Yes,Yes,Dissatisfied,No,Good,Talk to a BETA friend,No,No,"A good network service should be provided. The closing time should be considered ,the bank closes too early also customer service to beta account is poor the often treate beta customers as they are not part of the banking system."
Female,35-44,BETA Friends,Yes,Yes,Very Dissatisfied,No,Fair,Call our contact center team,No,No,ATM often reject the beta card and the card cannot be used on pos machine for emergency .
Male,25-34,BETA Friends,Yes,Yes,Neutral,No,Good,Talk to a BETA friend,No,Yes,Beta card withdraw limit is too low for an individual to rely on .Beta customers should be treated fairly as other customers.
Male,25-34,BETA Friends,Yes,Yes,Neutral,Yes,Good,Visit a Branch,Yes,Yes,"Improve on beta transfer ad ATM card because d account started with 72 ATM card is not working ,I can only put money but card is not working please help."
Male,35-44,BETA Friends,Yes,Yes,Dissatisfied,No,Very good,Visit a Branch,No,Yes,"1. Harmonize the ussd code to be one with *901#.
2. Your customer care service should be worked on because some of your personal seems not to know what to do when I have issues sometimes.
3. The beta account should be incorporated into internet banking.
4. The platform for beta account should be upgraded to the standard of other platforms."
Male,35-44,BETA Friends,Yes,Yes,Satisfied,No,Very good,Visit a Branch,No,Yes,The platform should be put in order
Female,35-44,BETA Friends,Yes,Yes,Neutral,No,Good,Talk to a BETA friend,No,Yes,The talkers should have manner of approach
Male,35-44,BETA Friends,Yes,Yes,Dissatisfied,No,Excellent,Visit a Branch,No,Yes,Network or platform should be in order
Female,45-59,BETA Friends,Yes,No,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Transfer should work properly
Male,25-34,BETA Friends,Yes,No,Satisfied,Yes,Good,Talk to a BETA friend,Yes,Yes,Platform should not be close by 2pm
Female,25-34,BETA Friends,Yes,No,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Transfer should work
Female,45-59,Friends,Yes,No,Satisfied,Yes,Very good,Call our contact center team,Yes,Yes,Beta customer should stop standing bon the queque
Female,35-44,Family,Yes,No,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Card should work on pos
Female,45-59,BETA Friends,Yes,Yes,Very Satisfied,No,Excellent,Visit a Branch,No,Yes,Tellers should attend to customers on time and not keeping customer standing for a long time because we are traders
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Visit a Branch,No,Yes,Timely please because we are business men ooo
Female,45-59,Advert,Yes,Yes,Neutral,Yes,Good,Talk to a BETA friend,Yes,Yes,Card should work on pos not only on atm
Female,35-44,Friends,Yes,No,Dissatisfied,No,Good,Visit a Branch,Yes,Yes,Platform should be put in order and card should work in pos 
Female,35-44,Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,"The platform for failed  transaction should be but in order  like pos complain,card issues"
Male,35-44,BETA Friends,Yes,No,Satisfied,Yes,Good,Talk to a BETA friend,Yes,Yes,Mobile app should be added to the account 
Male,35-44,BETA Friends,Yes,Yes,Neutral,No,Very good,Talk to a BETA friend,No,No,To improve our network and reversal of dispense errors 
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,"I will love if they remove 4.00 sms charge in each transaction 
Thanks "
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,To receive transfers and to be able to transfer 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,No,Very good,Talk to a BETA friend,Yes,Yes,To be able to be doing transfers and also to receive transfer 
Female,25-34,BETA Friends,Yes,Yes,Satisfied,No,Excellent,Talk to a BETA friend,No,Yes,Everything is good for now 
Male,35-44,BETA Friends,Yes,Yes,Neutral,Yes,Good,Visit a Branch,No,Yes,To improve or upgrade the account to accept transfer from other Banks.
Male,25-34,BETA Friends,Yes,Yes,Satisfied,No,Good,Talk to a BETA friend,Yes,Yes,Not able to access my money when needed 
Female,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Fair,Talk to a BETA friend,Yes,Yes,"To withdraw with the atm card via POS.
To upgrade the account for customer to transfer inside the account."
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Visit a Branch,Yes,Yes,"Beta account should be accepting transfer from other Banks.
"
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,"Please improve your service by allowing funds from other Banks to beta account.
Please let all beta account owners be allowed to get cash from all pos machine with ease."
Male,45-59,BETA Friends,Yes,No,Satisfied,Yes,Good,Talk to a BETA friend,Yes,No," Atm cannot be used to withdraw on POS machine.
Other Banks should be able to transfer into the account."
Male,25-34,BETA Friends,Yes,No,Neutral,Yes,Good,Talk to a BETA friend,Yes,No,"Mobile app should be included in Beta account.
For the account to be upgraded to a standard account."
Male,45-59,BETA Friends,Yes,No,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,No,For customer to transfer into the account.
Female,35-44,BETA Friends,Yes,No,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,No,The account should be able to transfer to other Banks.
Male,25-34,BETA Friends,Yes,No,Very Satisfied,Yes,Excellent,Call our contact center team,Yes,No,"For now you people are trying so keep it up.
Please transfer should be included in the account."
Female,25-34,BETA Friends,Yes,No,Neutral,No,Excellent,Visit a Branch,No,No,I want to be transferring from my account to other Banks and from other Banks to beta account.
Male,25-34,BETA Friends,Yes,No,Neutral,Yes,Excellent,Visit a Branch,No,No,I want to be transferring money to other Banks and from other Banks to beta account.
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Visit a Branch,No,Yes,"We need transfer from beta to other banks

"
Female,35-44,BETA Friends,Yes,No,Dissatisfied,Yes,Excellent,Talk to a BETA friend,No,No,Please I will like for beta account to be upgraded to receive transfer from other Banks.
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Visit a Branch,No,Yes,Transfer from beta to other banks
Male,35-44,BETA Friends,Yes,No,Dissatisfied,Yes,Excellent,Talk to a BETA friend,No,No,You can help with issue of transfer for other Banks to transfer into the account.
Male,35-44,Friends,Yes,Yes,Very Satisfied,Yes,Very good,Visit a Branch,No,Yes,Improve on the network
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Visit a Branch,No,Yes,We need transfer from beta to other banks
Male,45-59,BETA Friends,Yes,No,Neutral,Yes,Good,Visit a Branch,Yes,Yes,"For the Atm to work on POS machine.
Transfer to the account."
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,BY ALLOWING TRANSFER IN AND OUT IN BETA ACCOUNT 
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,BY IMPROVING BETA NETWORK
Male,25-34,BETA Friends,Yes,No,Satisfied,Yes,Fair,Visit a Branch,No,No,"To accept transfer from other Banks.
To work on the beta account network."
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,BY IMPROVING BETA NETWORK EXPECIALLY WITHDRAWAL THROUGH THE COUNTER 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,BY IMPROVING BETA NETWORK 
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,BY MAKING IT EASY FOR WITHDRAWAL INSIDE THE BANK
Male,35-44,BETA Friends,Yes,No,Satisfied,Yes,Good,Visit a Branch,Yes,Yes,"Mobile app should be included in the beta account.
Other Banks should be able to transfer to beta account."
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,BY IMPROVING BETA NETWORK ON WITHDRAWAL 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,BY ENABLING TRANSFER ON BETA IN AND OUT 
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,ENABLING TRANSFER IN AND OUT
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Visit a Branch,No,Yes,BY IMPROVING BETA NETWORK
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,BY ENABLING PAYMENT INTO BETA THROUGH POS AGENTS
Male,35-44,BETA Friends,Yes,No,Neutral,Yes,Good,Visit a Branch,Yes,Yes,"The ATM card is not working on POS machine.
Please debit without pay on beta account should be worked on."
Male,35-44,BETA Friends,Yes,Yes,Very Dissatisfied,No,Very good,Visit a Branch,No,No,BY REVERSING MY TEN THOUSAND NAIRA THAT WAS DEBITED ON BETA WITHOUT REVERSAL
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,NETWORK ISSUES
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,NETWORK ISSUE
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Visit a Branch,No,Yes,NETWORK ISSUES
Female,25-34,BETA Friends,Yes,No,Neutral,Yes,Good,Visit a Branch,No,Yes,Please transfer to the account should be made easy.
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,BY IMPROVING BETA NETWORK
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,ENABLING PAYMENT THROUGH POS AGENTS 
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Visit a Branch,No,Yes,BY ENABLING PAYMENT THROUGH PAYMENT
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Visit a Branch,No,Yes,BY ENABLING POS PAYMENT
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Visit a Branch,No,Yes,BY ENABLING PAYMENT THROUGH POS
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,BY ENABLNG DEPOSIT THROUGH POS AGENTS
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Visit a Branch,Yes,Yes,Transfer to beta account should be made easy for customer.
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Visit a Branch,No,Yes,BY ENABLING DEPOSIT THROUGH POS AGENTS
Male,45-59,BETA Friends,Yes,No,Satisfied,Yes,Very good,Visit a Branch,Yes,No,"Declined transaction.
Transfer to the account is an issue."
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Visit a Branch,Yes,Yes,"Transfer is not working and beta account,ad ATM card not working too"
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Visit a Branch,Yes,Yes,"Transfer is not working,ad time wastage in the banking hall is not good"
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Visit a Branch,Yes,Yes,"ATM card is not working,and poor Network"
Male,25-34,BETA Friends,Yes,Yes,Neutral,Yes,Fair,Visit a Branch,Yes,Yes,"Transfer is not working,ad ATM card is not working"
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Visit a Branch,Yes,Yes,"Time  wastage in d banking hall, because of bad network ad ATM card is not working"
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Visit a Branch,Yes,Yes,"Transfer is not working,ad bad network "
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,QUALITY SERVICE
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,GIVES QUALITY SERVICE
Female,18-24,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Improvement on network 
Male,45-59,Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Improvement on network 
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Improvement on beta network 
Female,45-59,Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,To improve on network service 
Female,45-59,BETA Friends,Yes,No,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,No,Very good
Female,35-44,BETA Friends,Yes,Yes,Neutral,Yes,Good,Visit a Branch,Yes,Yes,"Transfer,ad and ATM card is not working"
Female,25-34,BETA Friends,Yes,Yes,Neutral,Yes,Fair,Visit a Branch,Yes,Yes,Transfer and ATM card is not working
Female,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Ok
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Visit a Branch,Yes,Yes,"Card and transfer is not working,ad some money posted don't use to show"
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Ok
Female,35-44,BETA Friends,Yes,No,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Ok
Female,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Visit a Branch,Yes,Yes,Transfer is not working
Male,25-34,BETA Friends,Yes,No,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,I'm certified with your services
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Visit a Branch,No,Yes,Ok
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Very ok 
Male,35-44,BETA Friends,Yes,Yes,Dissatisfied,Yes,Poor,Visit a Branch,Yes,Yes,Time wastage in d banking hall because of no network
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Ok
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Visit a Branch,Yes,Yes,Transfer is not working
Female,25-34,BETA Friends,Yes,Yes,Neutral,Yes,Poor,Visit a Branch,Yes,Yes,Whenever withdrawal on Bank one no network
Male,45-59,BETA Friends,Yes,Yes,Neutral,Yes,Fair,Visit a Branch,Yes,Yes,"To collect new card is very different,I have mobile pin more than 10 times but is not working,at a time I give up to put my money in Bata account "
Female,35-44,BETA Friends,Yes,Yes,Neutral,Yes,Good,Visit a Branch,Yes,Yes,"Card and transfer are not working, just to save"
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Visit a Branch,Yes,Yes,Card and transfer is not working
Female,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Visit a Branch,Yes,Yes,Transfer is not working
Female,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Poor,Visit a Branch,Yes,Yes,Transfer is not working
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,No,Very good,Talk to a BETA friend,Yes,Yes,We need loan to increase our business. 
Male,35-44,Friends,Yes,Yes,Satisfied,No,Good,Talk to a BETA friend,Yes,Yes,"Improve in ur network, thank u ma "
Male,45-59,BETA Friends,Yes,Yes,Satisfied,No,Very good,Talk to a BETA friend,Yes,Yes,Let their be puting interest in to the account 
Male,45-59,BETA Friends,Yes,Yes,Satisfied,No,Very good,Talk to a BETA friend,Yes,Yes,Some times ur network they badly please improve on it. Thank u
Female,45-59,Friends,Yes,Yes,Very Satisfied,No,Excellent,Talk to a BETA friend,No,Yes,Prefect service 
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,I want to use  the beta account to do transfer to another bank. Thank 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,I want the account to have mobile App so that I  can been doing transfer. Thank 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Let the account have mobile App we can been use to do transfer. Thank u
Male,25-34,BETA Friends,Yes,No,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Improve in network 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,I need loan to put in my business. Thank 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,No,Yes,I need interest for the account 
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network issue
Female,25-34,BETA Friends,Yes,No,Dissatisfied,Yes,Fair,Talk to a BETA friend,No,No,"Please you people need to work on your beta network,I withdraw with my beta debit card,i was debited 1k twice without crediting me back.
 "
Female,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,"To work on network,i mean beta network"
Female,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Improvement on beta  network 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,No,Am ok the way am operating the account
Female,25-34,BETA Friends,Yes,Yes,Dissatisfied,Yes,Fair,Visit a Branch,No,Yes,Please beta network need to improve
Male,45-59,Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,Yes,Yes,Good 
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Please i need cash right now
Male,45-59,Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,Yes,Yes,Good 
Female,35-44,Family,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Good 
Male,35-44,Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Good 
Male,35-44,Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Good 
Female,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Visit a Branch,Yes,Yes,Improvement on beta network 
Female,35-44,Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,Yes,Yes,Good 
Female,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Improvement on beta network 
Female,35-44,Family,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Good 
Female,45-59,Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Improvement on beta network 
Female,35-44,Friends,Yes,Yes,Neutral,Yes,Very good,Talk to a BETA friend,Yes,Yes,Good 
Male,45-59,Family,Yes,Yes,Neutral,Yes,Very good,Visit a Branch,Yes,Yes,Good 
Female,35-44,Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Improvement on beta network 
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Visit a Branch,No,Yes,Improvement on beta network 
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Improvement on beta network 
Male,45-59,Friends,Yes,Yes,Neutral,Yes,Very good,Talk to a BETA friend,Yes,Yes,Good 
Female,35-44,Friends,Yes,Yes,Dissatisfied,Yes,Very good,Visit a Branch,Yes,Yes,Good 
Male,25-34,Friends,Yes,Yes,Very Dissatisfied,Yes,Good,Visit a Branch,Yes,Yes,Good 
Male,35-44,Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Good 
Male,35-44,Friends,Yes,Yes,Neutral,Yes,Very good,Talk to a BETA friend,Yes,Yes,Good 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Visit a Branch,Yes,Yes,Cool
Female,35-44,Family,Yes,Yes,Neutral,Yes,Very good,Visit a Branch,Yes,Yes,Good 
Female,35-44,Friends,Yes,Yes,Neutral,Yes,Fair,Visit a Branch,Yes,Yes,Good 
Female,35-44,Family,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,Yes,Yes,Good 
Male,25-34,Friends,Yes,Yes,Neutral,Yes,Good,Visit a Branch,Yes,Yes,Good
Male,35-44,Family,Yes,Yes,Neutral,Yes,Very good,Visit a Branch,Yes,Yes,Good 
Female,45-59,Friends,Yes,Yes,Neutral,Yes,Very good,Visit a Branch,Yes,Yes,Good 
Male,45-59,Family,Yes,Yes,Neutral,Yes,Very good,Talk to a BETA friend,Yes,Yes,Good 
Female,45-59,Friends,Yes,Yes,Neutral,Yes,Very good,Talk to a BETA friend,Yes,Yes,Good 
Female,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Improvement on beta network 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Improvement on beta network 
Female,45-59,Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Improvement on beta network 
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Improvement on beta network 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Improvement on beta network 
Female,45-59,Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Improvement on beta network 
Female,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Improvement on beta network 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Improvement on beta network 
Female,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Improvement on beta network 
Male,35-44,BETA Friends,Yes,Yes,Neutral,Yes,Very good,Talk to a BETA friend,Yes,Yes,Gift
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,No,Please you people need to work on your beta transfer app
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,More Improve on network service 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,No,Please you people need to work on beta mobile app
Male,45-59,Friends,Yes,No,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Improvement on beta network 
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Improve on network and give out gifts 
Female,35-44,Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Improve on network and loan
Female,35-44,Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Improve on network and gift
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Gift and loan 
Female,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Improve in network 
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Need loan 
Female,25-34,Advert,Yes,Yes,Neutral,No,Excellent,Talk to a BETA friend,Yes,No,Enable transfers and ease of transferring into the account. Option of reseting my Debit card pin if I forget it.
Female,25-34,BETA Friends,Yes,Yes,Dissatisfied,No,Excellent,Talk to a BETA friend,Yes,Yes,"I want to be able to transfer into my Beta account easily, without explaining to people how to choose Access yello and beta every time. "
Male,25-34,BETA Friends,Yes,Yes,Satisfied,No,Excellent,Talk to a BETA friend,Yes,Yes,"1. Lack of appreciation of customers by sharing gift to the customers.
2. Poor network system, it should improve more for quick transaction purpose.
3. Very difficult to withdraw in BETA account. It should be made easier.
4. Account upgrade takes time, improve and give fast attention."
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,No,Excellent,Talk to a BETA friend,No,Yes,"1. They should have stable network.
2. Transactions should not be delayed
3. Alert should drop quickly.
4. BETA should have mobile app.
5. Employ more BETA staff
6. Other Banks gives their customers gift but you people are too stingy for that, why?"
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,"The BETA savings account is a good opportunity to save money, also I believe the BETA account should have access to mobile app for easy access to the account."
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,No,"1. Give loan
2. Give gift
3. Network"
Male,25-34,BETA Friends,Yes,Yes,Satisfied,No,Excellent,Talk to a BETA friend,Yes,Yes,"1. BETA account is very good but I need something good from them.
2. Sometimes the service is very poor.
3. Try to give customers gift"
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Improve in network 
